Testcase,Points,Notes,Description
"Surrogates.txt: Program failed to convert UTF-16LE to UTF-16LE and had a valid return code. - 0.25
","0.25
",,Surrogates.txt: Program failed to convert UTF-16LE to UTF-16LE and had a valid return code.
"Surrogates.txt: Program failed to convert UTF-16BE to UTF-16BE and had a valid return code. - 0.25
","0.25
",,Surrogates.txt: Program failed to convert UTF-16BE to UTF-16BE and had a valid return code.
"ASCII.txt:Program failed to convert UTF-16LE to UTF-16BE and had a valid return code. - 0.25
","0.25
",,ASCII.txt:Program failed to convert UTF-16LE to UTF-16BE and had a valid return code.
"Nonsurrogates.txt:Program failed to convert UTF-16LE to UTF-16BE and had a valid return code. - 0.25
","0.25
",,Nonsurrogates.txt:Program failed to convert UTF-16LE to UTF-16BE and had a valid return code.
"Mixed.txt:Program failed to convert UTF-16LE to UTF-16BE and had a valid return code. - 0.25
","0.25
",,Mixed.txt:Program failed to convert UTF-16LE to UTF-16BE and had a valid return code.
"Surrogates.txt:Program failed to convert UTF-16LE to UTF-16BE and had a valid return code. - 0.25
","0.25
",,Surrogates.txt:Program failed to convert UTF-16LE to UTF-16BE and had a valid return code.
"ASCII.txt:Program failed to convert UTF-16BE to UTF-16LE and had a valid return code. - 0.25
","0.25
",,ASCII.txt:Program failed to convert UTF-16BE to UTF-16LE and had a valid return code.
"Nonsurrogates.txt:Program failed to convert UTF-16BE to UTF-16LE and had a valid return code. - 0.25
","0.25
",,Nonsurrogates.txt:Program failed to convert UTF-16BE to UTF-16LE and had a valid return code.
"Mixed.txt:Program failed to convert UTF-16BE to UTF-16LE and had a valid return code. - 0.25
","0.25
",,Mixed.txt:Program failed to convert UTF-16BE to UTF-16LE and had a valid return code.
"Surrogates.txt:Program failed to convert UTF-16BE to UTF-16LE and had a valid return code. - 0.25
","0.25
",,Surrogates.txt:Program failed to convert UTF-16BE to UTF-16LE and had a valid return code.
"ASCII.txt: Program failed to convert UTF-8 to UTF-16LE and had a valid return code. - 0.625
","0.625
",,ASCII.txt: Program failed to convert UTF-8 to UTF-16LE and had a valid return code.
"Nonsurrogates.txt: Program failed to convert UTF-8 to UTF-16LE and had a valid return code. - 0.625
","0.625
",,Nonsurrogates.txt: Program failed to convert UTF-8 to UTF-16LE and had a valid return code.
"Mixed.txt: Program failed to convert UTF-8 to UTF-16LE and had a valid return code. - 0.625
","0.625
",,Mixed.txt: Program failed to convert UTF-8 to UTF-16LE and had a valid return code.
"ASCII.txt: Program failed to convert UTF-8 to UTF-16BE and had a valid return code. - 0.625
","0.625
",,ASCII.txt: Program failed to convert UTF-8 to UTF-16BE and had a valid return code.
