Test,Status,Points,Max,Message
Malloc_a_7737,PASSED,3,3,
Malloc_a_Double,PASSED,2,2,
Coalesce_free_block_before,PASSED,3,3,
Realloc_size_zero_expect_NULL,PASSED,3,3,
Realloc_Payload_Integrity_And_Moved,PASSED,3,3,
Realloc_Both_Extend_In_Place_And_Move,ERRORED,0,3,['The test crashed.']
Info_count_coalesces,PASSED,1,1,
Malloc_a_Short,PASSED,2,2,
Realloc_larger_fits_contiguous_absorb_splinter,FAILED,0,3,['Realloc_larger_fits_contiguous_absorb_splinter.c:40: Block was moved']
Malloc_four_pages,PASSED,3,3,
Info_count_internal,PASSED,1,1,
Realloc_larger_must_move,PASSED,3,3,
External_fragmentation_ask_sf_sbrk_for_more_space,FAILED,0,3,"['External_fragmentation_ask_sf_sbrk_for_more_space.c:37: Incorrect freelist_head block size, Actual: 32, EXPECTED: 4064']"
ManagingMemory_consecutive_list,PASSED,3,3,
Free_block_check_header_footer_values,PASSED,2,2,
Free_Coalesce_Forward_2_Times,PASSED,3,3,
Realloc_smaller_size_ptr_should_not_move,PASSED,3,3,
Info_count_allocations,PASSED,1,1,
Malloc_a_Char,PASSED,2,2,
Realloc_larger_fits_contiguous,PASSED,3,3,
StressTest,TIMEOUT,0,3,TIMEOUT
Info_Malloc_And_Free,FAILED,0,3,"['Info_Malloc_And_Free.c:60: Incorrect meminfo internal, 64, EXPECTED: 48']"
Malloc_Whole_First_Page_Multiple_Times,ERRORED,0,3,['The test crashed.']
Malloc_four_pages_across_multiple_mallocs_then_frees_all,ERRORED,0,3,['The test crashed.']
Malloc_a_LongDouble,PASSED,2,2,
Check_next_prev_pointers_of_free_block_at_head_of_list_3FreeBlocks,PASSED,2,2,
Malloc_three_pages,PASSED,3,3,
Malloc_one_page,PASSED,3,3,
Coalesce_free_block_after,PASSED,3,3,
Malloc_an_Integer,PASSED,2,2,
Coalesce_no_coalescing,PASSED,2,2,
Splitting,PASSED,3,3,
Info_count_frees,PASSED,1,1,
Malloc_two_pages,PASSED,3,3,
Malloc_773_Bytes,PASSED,2,2,
Coalesce_free_before_and_after,PASSED,3,3,
Check_next_prev_pointers_of_free_block_at_head_of_list_BaseCase,PASSED,2,2,
Splinter,PASSED,3,3,
Info_count_external,FAILED,0,1,"['Info_count_external.c:41: Info had incorrect values, 3652, EXPECTED: 3712']"
Required Unit Tests,Counted,0,3,Unittests
